"Eff_Date","Course_ID","Offer_Nbr","Primary_Component","Enrol_Component","Final_Exam","Sect_Size","Contact","SPlus_Templates_Reqd","Component"
"01/01/2017","005385","1","PFM","","Y","20","2.000","4.00","PFM"
"01/01/2017","005543","1","LEC","TUT","N","50","1.000","1.00","LAB"
"01/01/2017","005543","1","LEC","TUT","N","80","1.000","1.00","TUT"
"01/01/2017","005543","1","LEC","TUT","Y","160","1.000","3.00","LEC"
"01/01/2017","005543","3","LEC","","N","50","1.000","1.00","LAB"
"01/01/2017","005543","3","LEC","","N","80","1.000","1.00","TUT"
"01/01/2017","005543","3","LEC","","Y","160","1.000","3.00","LEC"
"01/01/2017","005554","1","SEM","SEM","N","50","8.000","2.00","SEM"
"01/01/2017","005596","1","LEC","","Y","10","2.000","1.00","LEC"
"01/01/2017","005611","1","LEC","TUT","N","21","1.000","2.00","TUT"
"01/01/2017","005611","1","LEC","TUT","Y","21","2.000","2.00","LEC"
"01/01/2017","005633","1","LEC","TUT","N","25","1.000","1.00","TUT"
"01/01/2017","005633","1","LEC","TUT","Y","25","1.000","4.00","LEC"
"01/01/2017","005672","2","LEC","LEC","N","50","0.000","1.00","TUT"
"01/01/2017","005672","2","LEC","LEC","Y","50","0.000","1.00","LEC"
"01/01/2017","005675","1","LEC","","N","25","1.000","1.00","PRA"
"01/01/2017","005675","1","LEC","","N","25","1.000","1.00","TUT"
"01/01/2017","005675","1","LEC","","Y","25","1.000","2.00","LEC"
"01/01/2017","005689","1","LEC","","Y","20","2.000","1.00","LEC"
"01/01/2017","005700","1","THE","","N","40","1.000","1.00","THE"
"01/01/2017","005704","1","LEC","","N","20","1.000","1.00","TUT"
"01/01/2017","005704","1","LEC","","Y","220","1.000","2.00","LEC"
"01/01/2017","005711","1","LEC","","N","35","1.000","2.00","LEC"
"01/01/2017","005711","1","LEC","","N","35","3.000","1.00","PRA"
"01/01/2017","005740","1","LEC","","N","25","3.000","1.00","PRA"
"01/01/2017","005740","1","LEC","","N","25","8.000","1.00","FLD"
"01/01/2017","005740","1","LEC","","Y","25","1.000","2.00","LEC"
"01/01/2017","005760","1","LEC","LEC","Y","10","2.000","3.00","LEC"
"01/01/2017","005761","1","LEC","WRK","N","10","2.000","2.00","WRK"
