"Acad_Group","Acad_Prog","Prog_Eff_Date","Acad_Plan","Eff_Date","Status","Descr","Short_Desc","Plan_Owner","Pct_Owned"
"ARTS","GDTTC","01/01/2015","GDTTC","01/01/2015","A","GDip. Transl & Transc Comm","GD.TTC","Arts FAO","100.000"
"ARTS","GDWST","01/01/2015","GDWOMENST","01/01/2015","A","GDip.Women's Studies","GD.WomSt","Arts FAO","100.000"
"ARTS","HARTS","01/01/2015","HBART","01/01/2015","A","B.Arts - honours","HB.Arts","Arts FAO","100.000"
"ARTS","HARTS","01/01/2015","HBARTASIAN","01/01/2015","A","B.Arts (Asian Studies) - hons","HB.A(AsSt)","Arts FAO","100.000"
"ARTS","HARTS","01/01/2015","HBARTCULTS","01/01/2015","A","B.Arts (Cultural Studies)-hons","HB.A(CulS)","Arts FAO","100.000"
"ARTS","HARTS","01/01/2015","HBARTDANCE","01/01/2002","A","B.Arts (Dance) - honours","HB.A(Danc)","Elder SO","100.000"
"ARTS","HARTS","01/01/2015","HBARTDRAMA","31/12/2001","I","B.Arts (Drama Stud) - honours","HB.A(Drma)","Eld Office","100.000"
"ARTS","HARTS","01/01/2015","HBARTEURO","01/01/2015","A","B.Arts (Euro Studies) - hons","HB.A(EurS)","Arts FAO","100.000"
"ARTS","HARTS","01/01/2015","HBARTINTNL","01/01/2015","A","B.Arts (Internat Stud) - hons","HB.A(IntS)","Arts FAO","100.000"
"ARTS","HBINT","01/01/2015","HBINTLSTUD","01/01/2015","A","B.International Studies - hons","HB.Int.St","Arts FAO","100.000"
"ARTS","HDVST","01/01/2016","HBDEVSTUD","01/01/2016","A","B.International Dev. - hons","HB.Int.Dev","Arts FAO","100.000"
"ARTS","HENST","01/01/2015","HBENVST","01/01/2015","A","B.Env Policy & Mgt. - hons","HB.EPM","Arts FAO","100.000"
"ARTS","HLABS","01/01/2015","HBLABST","01/01/2015","A","B.Labour Studies  - honours","HB.LabSt","Arts FAO","100.000"
"ARTS","HLANG","01/01/2015","HBLANG","02/01/2015","A","B.Languages - honours","HB.Lang","Arts FAO","100.000"
"ARTS","HMEDI","01/01/2015","HBMEDIA","01/01/2015","A","B.Media - honours","HB.Media","Arts FAO","100.000"
"ARTS","HSOCS","01/01/2015","HBSOCIALSC","01/01/2015","A","B.Social Sciences - honours","HB.Soc.Sc","Arts FAO","100.000"
"ARTS","IGCEM","01/01/2010","IGCENVMGMT","01/01/2010","I","GC Internat Environ Management","GC.IEnvMgt","Geog&Env","100.000"
"ARTS","IGDEM","01/01/2010","IGDENVMGMT","01/01/2010","I","GD Internat Environmental Mgmt","GD.IEnvMgt","Geog&Env","100.000"
"ARTS","MAAAL","01/01/2015","MARTADVAL","01/01/2015","A","M. Arts (AdvAppLing)","M.A(AdvAL)","Arts FAO","100.000"
"ARTS","MAAH","14/12/2016","MASTARTH","11/11/2016","A","M.Arts(Stud. in Art History)","M.A(StAH)","ArtHistory","100.000"
"ARTS","MAAL","01/01/2015","MARTAL","01/01/2015","A","M. Arts (Applied Linguistics)","M.A(ALing)","Arts FAO","100.000"
"ARTS","MAAPL","10/11/2016","MAAPLING","10/11/2016","A","M.Arts (Applied Linguistics)","M.Arts(AL)","Arts FAO","100.000"
"ARTS","MACM","10/11/2016","MARTCMS","10/11/2016","A","M. Arts(Curatorial & MuseumSt)","M.A(CMS)","Arts FAO","100.000"
"ARTS","MACMS","14/12/2016","MACMUSST","11/11/2016","A","M.Arts(Curatorial & MuseumSt)","M.A(CMSt)","ArtHistory","100.000"
"ARTS","MACW","01/01/2015","MARTCW","01/01/2015","A","M. Arts (Creative Writing)","M.A(CrWr)","Arts FAO","100.000"
"ARTS","MAGAS","01/01/2015","MARTGAST","01/01/2015","A","Le Cordon Bleu M. Arts (Gast)","LCB M.A(G)","Arts FAO","100.000"
"ARTS","MAHMC","10/11/2016","MAAHMACMS","10/11/2016","A","M.A.(St.ArtHist)&M.A.(Cur&Mu)","MAAHMACMS","Arts FAO","100.000"
"ARTS","MAIS","01/01/2015","MARTIS","01/01/2015","A","M. Arts(International Studies)","M.A(IS)","Arts FAO","100.000"
"ARTS","MARTC","01/01/2015","MAPUBLICAF","14/01/2005","I","M.Arts (Public Affairs)","M.A(PubAf)","H&SS FO","100.000"
"ARTS","MARTC","01/01/2015","MARTAPANTH","14/01/2005","I","M.Arts (Applied Anthropology)","M.A(AppAn)","H&SS FO","100.000"
"ARTS","MARTC","01/01/2015","MARTAPPDEM","01/01/1901","I","M.Arts (Applied Demography)","M.A(ApDem)","H&SS FO","100.000"
"ARTS","MARTC","01/01/2015","MARTAPPHIS","14/01/2005","I","M.Arts (App Hist Studies)","M.A(ApHSt)","H&SS FO","100.000"
"ARTS","MARTC","01/01/2015","MARTAPPLIN","01/01/2015","A","M.Arts (Applied Linguistics)","M.A(ApLin)","Arts FAO","100.000"
"ARTS","MARTC","01/01/2015","MARTCRWRG","01/01/2015","A","M.Arts (Creative Writing)","M.A(CrWrg)","Arts FAO","100.000"
"ARTS","MARTC","01/01/2015","MARTCURMUS","01/01/2015","A","M. Arts(Curatorial & MuseumSt)","M.A(CuMSt)","Arts FAO","100.000"
"ARTS","MARTC","01/01/2015","MARTEDTHTR","01/01/1901","I","M.Arts (Educational Theatre)","M.A(EdTh)","H&SS FO","100.000"
"ARTS","MARTC","01/01/2015","MARTGAS","01/01/2015","A","Le Cordon Bleu M.Arts (Gast.)","LCBMaGast","Arts FAO","100.000"
"ARTS","MARTC","01/01/2015","MARTINTNTL","01/01/2015","A","M.Arts (International Studies)","M.A(IntSt)","Arts FAO","100.000"
"ARTS","MARTC","01/01/2015","MARTLABST","14/01/2005","I","M.Arts (Labour Studies)","M.A(LabSt)","H&SS FO","100.000"
"ARTS","MARTC","01/01/2015","MARTP&HRES","01/01/2010","I","M.Arts (Pop & Mig Stud)","M.A(P&MS)","H&SS FAO","100.000"
"ARTS","MARTC","01/01/2015","MARTPHILOS","01/01/1901","I","M.Arts (Philosophy)","M.A(Phil)","H&SS FO","100.000"
"ARTS","MARTC","01/01/2015","MARTSTART","01/01/2015","A","M.Arts(Studies in Art History)","M.A(StArt)","Arts FAO","100.000"
"ARTS","MARTC","01/01/2015","MAWOMENST","14/01/2005","I","M.Arts (Women's Studies)","M.A(WomSt)","H&SS FO","100.000"
"ARTS","MARTQ","01/01/2015","MARTQUAL","01/01/2015","A","M.Arts - qualifying","M.A.Q.","Arts FAO","100.000"
"ARTS","MARTS","30/11/2016","MARTS","06/08/2016","A","M.Arts","M.Arts","Arts Off","100.000"
